Bridge Over Troubled Waters,"A youth who need help, Bridge can provide more than just shelter and a warm meal. Bridge helps youths find pathways to education, mental health counseling, career development, transitional living solutions, community support, and more.",Homeless Assistance/ Transitional Housing ,1617-423-9575 (24/7),"47 West Street, Boston, MA 02111.(9am-5pm M-F)",bridge@bridgeotw.org,Age: 14-24
Wayside Youth & Family Support Network,,Homeless Assistance/Mental Health support,508-879-9800,"1 Frederick Abbott Way, Framingham, MA 01701",,
SNAP benefits (formerly food stamps) | Mass.gov,Supplemental Nutrition Assistance Program(SNAP) expand your food budget( for nutrition only). They give you money to pay for. Food every month,Give some extra money to pay for food and drinks monthly ( you can buy alcohol or other products like parfum for example with),(800)-645-8333,,dtaapphelpdesk@state.ma.us,Being Us citizen or permanent resident
Massachusetts Housing & Shelter Alliance,,,,,,
Massachusetts Free Financial Education Resources | Mass.gov,"For everybody, provide financial education like banking basics, budgeting and saving, credit and debt, growing wealth , saving and paying for education. Etc..","Free  financial education : Banking Basics, Budgeting and saving, credit and debt, growing wealth , saving and paying for education. Etc..",Web site,,,
MassHousing,"MassHousing, the state's affordable housing finance agency, supports the
creation, preservation and long-term viability of affordable homeownership
and rental housing.",Affordable housing,617-854-1000,"One Beacon Street Boston, MA 02108",homeownership@masshousing.com,
Massachusetts Coalition for the Homeless,"The Massachusetts Coalition for the Homeless is committed to ensuring that
everyone has a place to call home. First, the Coalition helps homeless and atrisk people to relocate quickly into new housing or avoid homelessness
altogether. Second, the Coalition works to ensure adequate and appropriate
shelter if homelessness is unavoidable. Lastly, the Coalition advocates for
long-term solutions to the housing crisis, promoting government support for
income and housing resources.",Resources for people who are homeless or at-risk of becoming homeless.,781-595-7570,"73 Buffum St, Lynn, MA 01902",marisa@mahomeless.org,
MassHire,"Career Centers provide services for job seekers. These services include
everything from assistance with searching for a job and career counseling, to
holding workshops and job fairs. They are equipped with resources such as
computers, reference materials, and unemployment insurance services.",Job placement assistance.,(617) 626-5300,,DCSFeedback@MassMail.State.MA.US,
Greater Boston PFLAG,"Greater Boston PFLAG offers help for LGBT youth, their families, and
communities around the topic of sexual identity. They are a group of parents,
families, friends, and lesbian, gay, bisexual and transgender people. Greater
Boston PFLAG helps change attitudes and creates an environment of
understanding so that our gay family members and friends can live in a world
that is safe and inclusive. ",Support for LGBTQ youth.,781.891.5966,,info@gbpflag.org,
Children's Trust Massachusetts,"The Children’s Trust leads statewide efforts to prevent child abuse and neglect
by supporting parents and strengthening families.",Help for young parents.,617. 727. 8957,"55 Court Street, 4th floor, Boston, MA 02108",info@childrenstrustma.org,
Youth Pass | Reduced Fares | MBTA,,Suicide prevention.,,,,
Youth Pass | Reduced Fares | MBTA,The Youth Pass Program offers reduced fares to young adults with low income. The program is a partnership between the T and participating cities and towns. Providing a method of transportation. ,"Reduced T pass, Transporations",,,, First off the need to be in a participating town(add towns here)  are 12-17 and their middle or high school does not provide an MBTA pass.18-25 if they are enrolled in either 
Supplemental Security Income (SSI) | SSA,"Adults Who: Are 65 and older, or ",Supplemental Security income ,800-772-1213 and if you are death or have trouble hearing you can call TTY 1-800-325-0778.,,,"65 and older, blind, or have a disability. Have limited income(wages,pensions) Limited resources, Is a citizen of th"
,"Are age 65 and older, or blind, or have a disability.",,,,,
,"Have limited income (wages, pensions, etc.).",,,,,
,Have limited resources (the things you own).,,,,,
,"Are U.S. citizens, nationals of the U.S., and some noncitizens.",,,,,
